threadId, monitorIteration, threadName, data
18,1,CPU,100.0
18,2,CPU,29.982
18,3,CPU,1.8011
18,4,CPU,14.169
18,5,CPU,3.9798
18,6,CPU,2.6336
18,7,CPU,2.0208
18,8,CPU,5.2172
18,9,CPU,2.2691
18,10,CPU,8.3733
18,11,CPU,19.056
18,12,CPU,14.073
18,13,CPU,38.982
18,14,CPU,5.3162
18,15,CPU,8.4569
18,16,CPU,2.7314
18,17,CPU,7.5861
18,18,CPU,7.9813
18,19,CPU,5.2209
18,20,CPU,6.2435
18,21,CPU,6.2435
18,22,CPU,11.412
18,23,CPU,11.412
18,24,CPU,0.81936
18,25,CPU,6.5538
18,26,CPU,3.7853
18,27,CPU,8.1288
18,28,CPU,5.5926
18,29,CPU,0.99416
18,30,CPU,8.0569
18,31,CPU,9.952
18,32,CPU,0.0
18,33,CPU,2.0258
18,34,CPU,5.4048
18,35,CPU,10.349
18,36,CPU,6.0604
18,37,CPU,2.2169
18,38,CPU,2.2169
ory,55.777
17,34,Memory,55.795
17,35,Memory,55.794
17,36,Memory,55.775
17,37,Memory,55.774
17,38,Memory,55.78
17,39,Memory,55.779
17,40,Memory,55.778
